sector,geography,avg_sentiment,fear_score,greed_score,buy_signals,sell_signals
Basic Materials,US,0.25018025477727257,0.2938509766260783,0.5440312314033507,7,3
Communication Services,US,0.13516224304835,0.4003879495461782,0.5355501925945282,7,4
Consumer Cyclical,US,0.47708476536414196,0.17445755828829373,0.6515423236524357,9,0
Consumer Defensive,US,0.5563907539844514,0.2140168551603953,0.7704076091448466,11,2
Energy,US,0.6288673989474773,0.13219325616955757,0.7610606551170349,5,0
Financial Services,US,0.5411502802694166,0.20531616951968218,0.7464664497890988,25,4
Healthcare,US,0.637872509593549,0.13053934885107954,0.7684118584446284,17,1
Industrials,US,0.5710314461163112,0.22422281759125845,0.7952542637075697,5,1
Real Estate,US,0.36520362538950785,0.2917954210724149,0.6569990464619228,3,1
Technology,US,0.4205808780542234,0.29293846139093727,0.7135193394451607,53,16
Utilities,US,0.4364060531059901,0.2192747468749682,0.6556807999809583,7,1
