primary_stock,final_score,avg_sentiment_score,avg_event_score,sector_score,avg_technical_score,avg_risk_penalty,total_events,sector,total_post_count,last_date
A,40.10205582968045,63.904102203347186,46.30005555555556,50.0,25.000000000000004,72.1959616276953,40,Technology,42.0,2025-07-24
ADBE,25.166399999999996,50.0,13.332,50.0,25.0,100.0,1,Technology,4.0,2025-07-18
ALL,41.3794878112152,69.69896952803799,4.999499999999999,50.0,25.000000000000004,0.0,1,Financial Services,3.0,2025-07-23
AMD,23.869833933871156,46.53028626192702,2.439426395939083,50.0,25.0,77.30165850087471,21,Technology,39.0,2025-07-24
AMZN,0.0,37.027533123317525,-269.97299999999996,50.0,25.0,33.10954713821411,16,Technology,17.0,2025-07-24
ANSS,55.322978985819134,90.39244746454784,33.33,50.0,25.0,0.0,1,Technology,2.0,2025-07-22
APA,69.06548913377608,91.41372283444022,100.0,50.0,25.0,0.0,2,Energy,6.0,2025-07-22
ARE,53.773440820288194,68.84970205072048,68.6678,50.0,25.0,0.0,6,Real Estate,5.0,2025-07-23
BLK,53.95368295665514,62.47565045346647,99.99999999999999,50.0,24.999999999999996,35.36577224731445,16,Financial Services,6.0,2025-07-23
C,64.41348010663475,89.78370026658689,80.0,50.0,25.0,0.0,2,Financial Services,3.0,2025-07-21
CCL,27.864713563089026,38.411783907722565,0.0,50.0,25.0,0.0,0,Consumer Cyclical,1.0,2025-07-22
CI,62.23588030541483,88.7049761980311,79.99199999999999,50.0,25.0,17.445101737976074,2,Healthcare,1.0,2025-07-18
CME,47.72943667028341,88.07359167570853,0.0,50.0,25.0,0.0,0,Financial Services,1.0,2025-07-23
COIN,14.379759270079688,4.699398175199221,0.0,50.0,25.0,0.0,0,Financial Services,1.0,2025-07-18
COST,32.5,50.0,0.0,50.0,25.0,0.0,0,Consumer Defensive,1.0,2025-07-24
CPB,55.456859005922844,94.06014751480711,26.664,50.0,25.0,0.0,8,Healthcare,8.0,2025-07-22
CVX,45.524526596069336,50.0,100.0,50.0,25.0,69.75473403930664,3,Energy,1.0,2025-07-18
D,15.701590129511834,53.04650184167592,-68.24176271186441,50.0,25.0,43.6865806478565,9,Utilities,11.0,2025-07-24
DD,55.77104756887823,86.59178538585581,91.17705882352942,50.0,25.0,96.01078350169985,63,Technology,52.0,2025-07-24
DECK,60.05200504706772,68.88001261766931,100.0,50.0,25.0,0.0,2,Consumer Cyclical,2.0,2025-07-24
DHI,49.655223016607124,92.88805754151781,0.0,50.0,25.0,0.0,0,Consumer Cyclical,4.0,2025-07-23
DTE,35.833,50.0,16.665,50.0,25.0,0.0,1,Utilities,1.0,2025-07-18
EBAY,49.92677507700379,85.23443769250947,16.665,50.0,25.0,0.0,1,Consumer Cyclical,2.0,2025-07-19
ENPH,24.009193051306763,46.26214200413884,-32.37771428571428,50.0,24.999999999999996,5.201208932059152,2,Basic Materials,4.0,2025-07-24
EQT,45.832,50.0,66.66,50.0,25.0,0.0,2,Energy,1.0,2025-07-22
F,60.998193117243325,87.49329742192131,100.0,50.0,25.0,64.99125851525201,24,Energy,9.0,2025-07-21
FI,48.441348074981114,89.85337018745278,0.0,50.0,25.0,0.0,0,Technology,1.0,2025-07-18
GE,54.22571976361381,79.31929940903451,99.99,50.0,25.0,100.0,2,Industrials,6.0,2025-07-23
GM,37.185808726692194,50.0,33.332,50.0,25.0,19.805912733078003,5,Consumer Cyclical,3.0,2025-07-23
GOOG,52.68738852291459,74.9261293266702,83.32766666666669,50.0,25.000000000000007,64.48596541086835,6,Communication Services,11.0,2025-07-22
GOOGL,56.55749706656603,83.87238356225856,85.00050000000003,50.0,25.000000000000007,64.91556358337404,11,Communication Services,13.0,2025-07-23
GS,8.117765224279662,22.54840969232147,-59.994,50.0,25.0,14.027986526489258,2,Financial Services,1.0,2025-07-20
IBM,4.3133833618019795,43.81876557906834,-88.73987499999998,50.0,24.999999999999996,79.66147869825362,7,Technology,10.0,2025-07-24
INTC,42.90396183866836,62.6779045966709,26.664,50.0,25.0,0.0,1,Technology,2.0,2025-07-18
IP,45.123848462857936,75.76621927551815,52.37857142857143,50.0,25.000000000000007,81.58353533063618,7,Technology,7.0,2025-07-19
ISRG,40.722076734352115,50.0,59.994,50.0,25.0,37.76723265647888,2,Healthcare,1.0,2025-07-23
IT,49.228910775088444,87.08414964651857,33.33333333333333,50.0,24.999999999999996,47.714157501856484,5,Technology,6.0,2025-07-24
JPM,64.45994363384185,93.30393732976759,80.0,50.0,25.0,13.616312980651855,2,Financial Services,3.0,2025-07-24
K,31.90175460255631,43.34899954867721,34.758428571428574,50.0,25.0,48.89530931200299,3,Consumer Defensive,4.0,2025-07-21
KEY,50.648927330970764,50.0,100.0,50.0,25.0,18.51072669029236,3,Financial Services,1.0,2025-07-22
KO,48.46796346007537,89.91990865018842,0.0,50.0,25.0,0.0,0,Consumer Defensive,1.0,2025-07-17
L,47.263917011516156,80.74777361456768,16.665,50.0,25.0,8.68192434310913,1,Financial Services,1.0,2025-07-19
LEN,24.1665,50.0,8.3325,50.0,25.0,100.0,1,Consumer Cyclical,1.0,2025-07-18
LLY,50.47811819309814,94.94529548274535,0.0,50.0,25.0,0.0,0,Healthcare,1.0,2025-07-22
LMT,39.986790129852295,49.99999999999999,56.66099999999999,50.0,24.999999999999996,38.45409870147705,4,Basic Materials,3.0,2025-07-23
