ticker,risk_type,geography,dominant_sentiment,average_confidence,occurrences,sector_relevance
A,financial,US,negative,0.9187421330383846,14,0.0
A,macro,US,neutral,0.8069842755794525,4,0.0
A,market,US,negative,0.8659367144107819,10,0.0
A,operational,US,positive,0.9462208151817322,1,0.0
A,regulatory,US,neutral,0.7077297021945318,6,0.0
ADBE,market,US,negative,0.7087622284889221,4,0.0
ADBE,operational,US,positive,0.7087422609329224,4,0.0
AMD,financial,US,negative,0.8786362674501207,9,0.0
AMD,macro,US,neutral,0.965039869149526,3,0.0
AMD,market,US,negative,0.8502004742622375,16,0.0
AMD,operational,US,negative,0.9344742993513743,6,0.0
AMD,regulatory,US,positive,0.8375219106674194,2,0.0
AMZN,financial,US,positive,0.9402318239212036,5,0.0
AMZN,macro,US,neutral,0.9651282429695129,2,0.0
AMZN,regulatory,US,positive,0.8375219106674194,2,0.0
BLK,financial,US,positive,0.9100431203842163,5,0.0
BLK,regulatory,US,negative,0.8582454919815063,5,0.0
CI,macro,US,positive,0.8722550868988037,1,0.0
CVX,macro,US,neutral,0.871934175491333,4,0.0
D,financial,US,negative,0.7080398499965668,3,0.0
D,market,US,positive,0.7127150098482767,3,0.0
D,operational,US,negative,0.7050804495811462,4,0.0
DD,financial,US,positive,0.8465492036435511,77,0.0
DD,macro,US,negative,0.9483898878097534,2,0.0
DD,market,US,positive,0.873408748043908,27,0.0
DD,operational,US,negative,0.7950778111815453,40,0.3
DD,regulatory,US,positive,0.8172571692201827,18,0.0
ENPH,market,US,neutral,0.4551057815551758,1,0.0
F,financial,US,neutral,0.9467878937721252,7,0.0
F,macro,US,neutral,0.9651282429695129,7,0.0
F,regulatory,US,positive,0.8375219106674194,7,0.0
GE,financial,US,neutral,0.7978481451670328,18,0.0
GE,macro,US,neutral,0.8989906907081604,6,0.0
GM,financial,US,negative,0.558269739151001,1,0.0
GM,market,US,neutral,0.8397958874702454,2,0.0
GM,operational,US,negative,0.9421038031578064,1,0.0
GM,regulatory,US,neutral,0.8857564330101013,2,0.0
GOOG,financial,US,negative,0.9077259540557862,5,0.0
GOOG,macro,US,neutral,0.9712434411048889,3,0.0
GOOGL,market,US,positive,0.9336425065994263,6,0.0
GOOGL,regulatory,US,positive,0.9336425065994263,6,0.0
GS,financial,US,negative,0.7013993263244629,1,0.0
IBM,financial,US,negative,0.7808694839477539,12,0.0
IBM,market,US,positive,0.9322957396507263,1,0.0
IBM,regulatory,US,positive,0.9322957396507263,1,0.0
IP,financial,US,positive,0.8814558344227927,14,0.0
IP,market,US,negative,0.92438143491745,1,0.0
IP,regulatory,US,positive,0.907402753829956,1,0.0
ISRG,financial,US,negative,0.944180816411972,2,0.0
IT,financial,US,positive,0.9193442861239115,3,0.0
IT,market,US,neutral,0.9444465041160583,1,0.0
IT,regulatory,US,positive,0.6966114044189453,1,0.0
JPM,financial,US,positive,0.851019561290741,1,0.0
K,macro,US,neutral,0.9507421255111694,3,0.0
KEY,macro,US,negative,0.9255363345146179,1,0.0
L,macro,US,negative,0.43409621715545654,1,0.0
LEN,financial,US,positive,0.8767718970775604,8,0.0
LEN,macro,US,neutral,0.8625658452510834,2,0.0
LMT,financial,US,neutral,0.9752784371376038,2,0.0
LMT,market,US,negative,0.9474264979362488,2,0.0
MA,financial,US,neutral,0.9427260160446167,2,0.0
MA,market,US,neutral,0.9427260160446167,2,0.0
META,macro,US,negative,0.566673994064331,1,0.0
META,market,US,positive,0.8878611922264099,2,0.0
MS,financial,US,neutral,0.7850812673568726,3,0.0
MS,operational,US,positive,0.9399469494819641,9,0.0
MS,regulatory,US,negative,0.6866390705108643,1,0.0
MSCI,financial,US,positive,0.894165575504303,1,0.0
MSCI,market,US,positive,0.5017603635787964,1,0.0
MSFT,financial,US,neutral,0.9467878937721252,2,0.0
MSFT,macro,US,neutral,0.9651282429695129,2,0.0
MSFT,operational,US,neutral,0.9475722312927246,9,0.0
MSFT,regulatory,US,positive,0.8375219106674194,2,0.0
NFLX,regulatory,US,positive,0.6888817548751831,1,0.0
NVDA,financial,US,positive,0.9321851084629694,72,0.0
NVDA,market,US,neutral,0.850654307533713,68,0.0
NVDA,operational,US,neutral,0.8551717599232992,66,0.0
NVDA,regulatory,US,positive,0.9062011337280274,25,0.0
O,macro,US,positive,0.7765287160873413,1,0.0
PEG,financial,US,positive,0.6998706857363383,12,0.0
PEG,macro,US,negative,0.8823475042978922,90,0.0
PEG,market,US,negative,0.9044600046597995,65,0.0
PEG,operational,US,positive,0.8897544145584106,30,0.0
PEG,regulatory,US,positive,0.8805126249790192,4,0.0
SBUX,financial,US,neutral,0.9427260160446167,2,0.0
SBUX,market,US,neutral,0.9427260160446167,2,0.0
T,financial,US,negative,0.906214334748008,11,0.0
T,market,US,negative,0.932346130672254,19,0.0
T,regulatory,US,positive,0.918588658173879,3,0.0
TSLA,financial,US,negative,0.8339454233646393,14,0.0
TSLA,macro,US,neutral,0.7648362318674723,3,0.0
TSLA,market,US,positive,0.740450366454966,34,0.0
TSLA,operational,US,negative,0.8047020369105868,9,0.0
UBER,financial,US,positive,0.894165575504303,2,0.0
UBER,market,US,positive,0.5017603635787964,2,0.0
UNH,financial,US,positive,0.7060699462890625,2,0.0
UNH,regulatory,US,neutral,0.682689388593038,3,0.0
VLO,financial,US,neutral,0.85410937666893,12,0.0
VLO,market,US,neutral,0.7753966450691223,6,0.0
VLO,operational,US,neutral,0.952090859413147,3,0.0
VLO,regulatory,US,neutral,0.8723866939544678,48,0.0
